Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-04 08:41:26,2018-10-04 08:41:34,7.561s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-04 08:41:27,2018-10-04 08:41:28,1.274s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-04 08:41:27,2018-10-04 08:41:28,0.670s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:28,2018-10-04 08:41:28,0.034s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:28,2018-10-04 08:41:28,0.099s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:28,2018-10-04 08:41:28,0.021s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-04 08:41:28,2018-10-04 08:41:29,0.797s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-04 08:41:28,2018-10-04 08:41:29,0.412s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.021s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.030s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.615s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.417s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.029s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:29,2018-10-04 08:41:29,0.027s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-04 08:41:29,2018-10-04 08:41:30,0.588s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-04 08:41:29,2018-10-04 08:41:30,0.413s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.004s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.030s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.016s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.584s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySubject)),,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.434s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.004s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.023s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:30,2018-10-04 08:41:30,0.018s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyEmailTenantID,,,2018-10-04 08:41:30,2018-10-04 08:41:31,0.621s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyTentant)),,,2018-10-04 08:41:31,2018-10-04 08:41:31,0.443s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:31,2018-10-04 08:41:31,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:31,2018-10-04 08:41:31,0.033s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:31,2018-10-04 08:41:31,0.030s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyToEmail,,,2018-10-04 08:41:31,2018-10-04 08:41:32,0.735s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyToEmail)),,,2018-10-04 08:41:31,2018-10-04 08:41:32,0.410s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.038s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.126s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidFromEmail,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.561s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidFromEmail)),,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.413s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.033s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:32,2018-10-04 08:41:32,0.012s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidToEmail,,,2018-10-04 08:41:32,2018-10-04 08:41:33,0.591s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidToEmail)),,,2018-10-04 08:41:33,2018-10-04 08:41:33,0.424s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:33,2018-10-04 08:41:33,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:33,2018-10-04 08:41:33,0.030s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:33,2018-10-04 08:41:33,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendEmail,,,2018-10-04 08:41:33,2018-10-04 08:41:34,0.566s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendEmail)),,,2018-10-04 08:41:33,2018-10-04 08:41:34,0.418s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:41:34,2018-10-04 08:41:34,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:34,2018-10-04 08:41:34,0.028s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:41:34,2018-10-04 08:41:34,0.019s,PASSED
