Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Orchestra_Configure,Chrome 68.0.3440.106,,2018-09-17 10:03:00,2018-09-17 10:03:17,17.106s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 10:03:00,2018-09-17 10:03:09,9.229s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:03:01,2018-09-17 10:03:05,4.381s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:03:05,2018-09-17 10:03:09,3.604s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:03:09,2018-09-17 10:03:09,0.230s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 10:03:09,2018-09-17 10:03:09,0.580s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 10:03:09,2018-09-17 10:03:16,6.658s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:03:09,2018-09-17 10:03:13,3.119s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:03:13,2018-09-17 10:03:16,3.003s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:03:16,2018-09-17 10:03:16,0.152s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 10:03:16,2018-09-17 10:03:16,0.348s,FAILED
