Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orchestra_Configure,Chrome 69.0.3497.100,,2018-09-27 13:07:39,2018-09-27 13:07:50,11.094s,PASSED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-09-27 13:07:40,2018-09-27 13:07:49,9.653s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 13:07:40,2018-09-27 13:07:44,4.176s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 13:07:44,2018-09-27 13:07:47,3.146s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 13:07:47,2018-09-27 13:07:48,0.306s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 13:07:48,2018-09-27 13:07:48,0.296s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 13:07:48,2018-09-27 13:07:49,1.330s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-27 13:07:49,2018-09-27 13:07:49,0.003s,NOT_RUN
