Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-04 08:54:54,2018-10-04 08:55:03,9.211s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-04 08:54:55,2018-10-04 08:54:56,1.698s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-04 08:54:55,2018-10-04 08:54:56,0.831s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:54:56,2018-10-04 08:54:56,0.029s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:56,2018-10-04 08:54:56,0.059s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:56,2018-10-04 08:54:56,0.023s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-04 08:54:56,2018-10-04 08:54:57,0.721s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-04 08:54:56,2018-10-04 08:54:57,0.530s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:54:57,2018-10-04 08:54:57,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:57,2018-10-04 08:54:57,0.016s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:57,2018-10-04 08:54:57,0.029s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-04 08:54:57,2018-10-04 08:54:58,0.647s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-04 08:54:57,2018-10-04 08:54:58,0.420s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.053s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.019s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.808s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.576s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.011s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.040s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:58,2018-10-04 08:54:58,0.026s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-04 08:54:58,2018-10-04 08:54:59,0.810s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySubject)),,,2018-10-04 08:54:59,2018-10-04 08:54:59,0.620s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:54:59,2018-10-04 08:54:59,0.018s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:59,2018-10-04 08:54:59,0.031s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:54:59,2018-10-04 08:54:59,0.025s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyEmailTenantID,,,2018-10-04 08:54:59,2018-10-04 08:55:00,0.803s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyTentant)),,,2018-10-04 08:54:59,2018-10-04 08:55:00,0.622s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:55:00,2018-10-04 08:55:00,0.007s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:00,2018-10-04 08:55:00,0.037s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:00,2018-10-04 08:55:00,0.019s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyToEmail,,,2018-10-04 08:55:00,2018-10-04 08:55:01,0.708s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyToEmail)),,,2018-10-04 08:55:00,2018-10-04 08:55:01,0.433s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.004s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.148s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.014s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidFromEmail,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.581s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidFromEmail)),,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.417s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.041s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:01,2018-10-04 08:55:01,0.020s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidToEmail,,,2018-10-04 08:55:01,2018-10-04 08:55:02,0.833s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidToEmail)),,,2018-10-04 08:55:01,2018-10-04 08:55:02,0.655s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:55:02,2018-10-04 08:55:02,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:02,2018-10-04 08:55:02,0.024s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:02,2018-10-04 08:55:02,0.018s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendEmail,,,2018-10-04 08:55:02,2018-10-04 08:55:03,0.653s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendEmail)),,,2018-10-04 08:55:02,2018-10-04 08:55:03,0.485s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:55:03,2018-10-04 08:55:03,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:03,2018-10-04 08:55:03,0.035s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:55:03,2018-10-04 08:55:03,0.021s,PASSED
