Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orchestra_Configure,Chrome 69.0.3497.100,,2018-10-10 12:23:21,2018-10-10 12:23:48,27.649s,FAILED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-10-10 12:23:21,2018-10-10 12:23:35,13.886s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:23:21,2018-10-10 12:23:28,6.641s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:23:28,2018-10-10 12:23:31,3.248s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:23:31,2018-10-10 12:23:32,0.333s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:23:32,2018-10-10 12:23:32,0.495s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:23:32,2018-10-10 12:23:35,2.405s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-10 12:23:35,2018-10-10 12:23:35,0.391s,FAILED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-10-10 12:23:35,2018-10-10 12:23:48,12.500s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:23:35,2018-10-10 12:23:40,5.466s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:23:40,2018-10-10 12:23:45,4.918s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:23:45,2018-10-10 12:23:46,0.188s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:23:46,2018-10-10 12:23:46,0.199s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:23:46,2018-10-10 12:23:47,1.221s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-10 12:23:47,2018-10-10 12:23:47,0.352s,FAILED
