Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-04 07:54:35,2018-10-04 07:54:45,9.793s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-04 07:54:36,2018-10-04 07:54:37,1.369s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-04 07:54:36,2018-10-04 07:54:37,0.923s,PASSED
verifyResponseStatusCode,,,2018-10-04 07:54:37,2018-10-04 07:54:37,0.017s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:37,2018-10-04 07:54:37,0.050s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:37,2018-10-04 07:54:37,0.018s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-04 07:54:37,2018-10-04 07:54:38,0.707s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-04 07:54:37,2018-10-04 07:54:38,0.443s,PASSED
verifyResponseStatusCode,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.008s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.035s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.021s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.767s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.476s,PASSED
verifyResponseStatusCode,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.010s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.019s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:38,2018-10-04 07:54:38,0.021s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-04 07:54:38,2018-10-04 07:54:40,1.218s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-04 07:54:39,2018-10-04 07:54:40,0.999s,PASSED
verifyResponseStatusCode,,,2018-10-04 07:54:40,2018-10-04 07:54:40,0.010s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:40,2018-10-04 07:54:40,0.033s,PASSED
verifyElementPropertyValue,,,2018-10-04 07:54:40,2018-10-04 07:54:40,0.018s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-04 07:54:40,2018-10-04 07:54:41,1.478s,PASSED
