Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-09-27 17:03:43,2018-09-27 17:03:50,7.407s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-09-27 17:03:43,2018-09-27 17:03:45,1.224s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-09-27 17:03:44,2018-09-27 17:03:44,0.713s,PASSED
verifyResponseStatusCode,,,2018-09-27 17:03:44,2018-09-27 17:03:44,0.020s,PASSED
verifyElementPropertyValue,,,2018-09-27 17:03:44,2018-09-27 17:03:44,0.049s,PASSED
verifyElementPropertyValue,,,2018-09-27 17:03:44,2018-09-27 17:03:45,0.050s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-09-27 17:03:45,2018-09-27 17:03:45,0.645s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-09-27 17:03:45,2018-09-27 17:03:45,0.415s,PASSED
verifyResponseStatusCode,,,2018-09-27 17:03:45,2018-09-27 17:03:45,0.002s,PASSED
verifyElementPropertyValue,,,2018-09-27 17:03:45,2018-09-27 17:03:45,0.013s,PASSED
verifyElementPropertyValue,,,2018-09-27 17:03:45,2018-09-27 17:03:45,0.019s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-09-27 17:03:45,2018-09-27 17:03:46,0.608s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-09-27 17:03:45,2018-09-27 17:03:46,0.409s,PASSED
verifyResponseStatusCode,,,2018-09-27 17:03:46,2018-09-27 17:03:46,0.003s,PASSED
verifyElementPropertyValue,,,2018-09-27 17:03:46,2018-09-27 17:03:46,0.012s,PASSED
verifyElementPropertyValue,,,2018-09-27 17:03:46,2018-09-27 17:03:46,0.039s,PASSED
,,,,,,
