Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Orchestra_Configure,Chrome 68.0.3440.106,,2018-09-17 09:44:11,2018-09-17 09:44:24,13.033s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 09:44:11,2018-09-17 09:44:18,6.920s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 09:44:11,2018-09-17 09:44:15,3.617s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 09:44:15,2018-09-17 09:44:17,2.083s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 09:44:17,2018-09-17 09:44:17,0.282s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 09:44:17,2018-09-17 09:44:18,0.523s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 09:44:18,2018-09-17 09:44:23,4.778s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 09:44:18,2018-09-17 09:44:21,2.796s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 09:44:21,2018-09-17 09:44:22,1.435s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 09:44:22,2018-09-17 09:44:22,0.199s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 09:44:22,2018-09-17 09:44:23,0.307s,FAILED
