Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Orchestra_Configure,Chrome 68.0.3440.106,,2018-09-17 09:42:53,2018-09-17 09:43:10,16.954s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 09:42:54,2018-09-17 09:43:02,8.783s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 09:42:54,2018-09-17 09:42:58,4.356s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 09:42:58,2018-09-17 09:43:02,3.214s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 09:43:02,2018-09-17 09:43:02,0.241s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 09:43:02,2018-09-17 09:43:02,0.583s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 09:43:02,2018-09-17 09:43:09,6.360s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 09:43:02,2018-09-17 09:43:05,2.727s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 09:43:05,2018-09-17 09:43:08,3.145s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 09:43:08,2018-09-17 09:43:08,0.132s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 09:43:08,2018-09-17 09:43:09,0.340s,FAILED
