Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-01 07:03:56,2018-10-01 07:04:03,7.760s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-01 07:03:56,2018-10-01 07:03:57,1.097s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-01 07:03:56,2018-10-01 07:03:57,0.648s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:03:57,2018-10-01 07:03:57,0.036s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:57,2018-10-01 07:03:57,0.065s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:57,2018-10-01 07:03:57,0.027s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-01 07:03:57,2018-10-01 07:03:58,0.689s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-01 07:03:57,2018-10-01 07:03:58,0.418s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:03:58,2018-10-01 07:03:58,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:58,2018-10-01 07:03:58,0.011s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:58,2018-10-01 07:03:58,0.030s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-01 07:03:58,2018-10-01 07:03:59,0.698s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-01 07:03:58,2018-10-01 07:03:58,0.426s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:03:58,2018-10-01 07:03:59,0.007s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.023s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.020s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.621s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.425s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.022s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:03:59,2018-10-01 07:03:59,0.020s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-01 07:03:59,2018-10-01 07:04:00,0.578s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySubject)),,,2018-10-01 07:03:59,2018-10-01 07:04:00,0.413s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.015s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyEmailTenantID,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.643s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyTentant)),,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.425s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.017s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:00,2018-10-01 07:04:00,0.016s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyToEmail,,,2018-10-01 07:04:00,2018-10-01 07:04:01,0.894s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyToEmail)),,,2018-10-01 07:04:01,2018-10-01 07:04:01,0.582s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:04:01,2018-10-01 07:04:01,0.028s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:01,2018-10-01 07:04:01,0.027s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:01,2018-10-01 07:04:01,0.027s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidFromEmail,,,2018-10-01 07:04:01,2018-10-01 07:04:02,0.643s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidFromEmail)),,,2018-10-01 07:04:01,2018-10-01 07:04:02,0.420s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:04:02,2018-10-01 07:04:02,0.016s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:02,2018-10-01 07:04:02,0.022s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:02,2018-10-01 07:04:02,0.025s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_invalidToEmail,,,2018-10-01 07:04:02,2018-10-01 07:04:03,0.664s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidToEmail)),,,2018-10-01 07:04:02,2018-10-01 07:04:03,0.445s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.015s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.019s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendEmail,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.622s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendEmail)),,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.444s,PASSED
verifyResponseStatusCode,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.018s,PASSED
verifyElementPropertyValue,,,2018-10-01 07:04:03,2018-10-01 07:04:03,0.016s,PASSED
