Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-04 08:39:53,2018-10-04 08:40:01,7.384s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-04 08:39:54,2018-10-04 08:39:55,1.355s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-04 08:39:54,2018-10-04 08:39:55,0.664s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:55,2018-10-04 08:39:55,0.042s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:55,2018-10-04 08:39:55,0.088s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:55,2018-10-04 08:39:55,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-04 08:39:55,2018-10-04 08:39:56,0.649s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-04 08:39:55,2018-10-04 08:39:56,0.417s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.017s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.026s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.634s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.421s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.026s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:56,2018-10-04 08:39:56,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-04 08:39:56,2018-10-04 08:39:57,0.649s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-04 08:39:56,2018-10-04 08:39:57,0.455s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:57,2018-10-04 08:39:57,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:57,2018-10-04 08:39:57,0.038s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:57,2018-10-04 08:39:57,0.012s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-04 08:39:57,2018-10-04 08:39:58,0.557s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySubject)),,,2018-10-04 08:39:57,2018-10-04 08:39:57,0.409s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:57,2018-10-04 08:39:58,0.022s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.019s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.013s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyEmailTenantID,,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.555s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyTentant)),,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.417s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.014s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:58,2018-10-04 08:39:58,0.031s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyToEmail,,,2018-10-04 08:39:58,2018-10-04 08:39:59,0.607s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyToEmail)),,,2018-10-04 08:39:58,2018-10-04 08:39:59,0.416s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.028s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.029s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidFromEmail,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.679s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidFromEmail)),,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.521s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.024s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:39:59,2018-10-04 08:39:59,0.021s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidToEmail,,,2018-10-04 08:39:59,2018-10-04 08:40:00,0.609s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidToEmail)),,,2018-10-04 08:40:00,2018-10-04 08:40:00,0.406s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:40:00,2018-10-04 08:40:00,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:40:00,2018-10-04 08:40:00,0.017s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:40:00,2018-10-04 08:40:00,0.011s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendEmail,,,2018-10-04 08:40:00,2018-10-04 08:40:01,0.563s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendEmail)),,,2018-10-04 08:40:00,2018-10-04 08:40:01,0.426s,PASSED
verifyResponseStatusCode,,,2018-10-04 08:40:01,2018-10-04 08:40:01,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:40:01,2018-10-04 08:40:01,0.026s,PASSED
verifyElementPropertyValue,,,2018-10-04 08:40:01,2018-10-04 08:40:01,0.012s,PASSED
