Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orchestra_Configure,Chrome 69.0.3497.100,,2018-10-10 12:03:19,2018-10-10 12:04:26,1m - 6.441s,FAILED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-10-10 12:03:20,2018-10-10 12:04:25,1m - 5.129s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:03:20,2018-10-10 12:03:33,12.494s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:03:33,2018-10-10 12:03:39,6.537s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:03:39,2018-10-10 12:03:40,0.571s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:03:40,2018-10-10 12:03:40,0.190s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:03:40,2018-10-10 12:03:53,12.568s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-10 12:03:53,2018-10-10 12:04:25,32.377s,FAILED
