Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-03 13:57:50,2018-10-03 13:57:57,7.313s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-03 13:57:51,2018-10-03 13:57:52,1.236s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-03 13:57:51,2018-10-03 13:57:52,0.677s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.015s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.048s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.018s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.666s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.453s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.021s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.029s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:52,2018-10-03 13:57:52,0.019s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-03 13:57:52,2018-10-03 13:57:53,0.614s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-03 13:57:53,2018-10-03 13:57:53,0.449s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:53,2018-10-03 13:57:53,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:53,2018-10-03 13:57:53,0.032s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:53,2018-10-03 13:57:53,0.015s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-03 13:57:53,2018-10-03 13:57:54,0.660s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-03 13:57:53,2018-10-03 13:57:54,0.448s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.012s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.016s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.030s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.617s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySubject)),,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.416s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.035s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:54,2018-10-03 13:57:54,0.042s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyEmailTenantID,,,2018-10-03 13:57:54,2018-10-03 13:57:55,0.569s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyTentant)),,,2018-10-03 13:57:54,2018-10-03 13:57:55,0.413s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.034s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.016s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyToEmail,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.566s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyToEmail)),,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.427s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.014s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:55,2018-10-03 13:57:55,0.012s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidFromEmail,,,2018-10-03 13:57:55,2018-10-03 13:57:56,0.677s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidFromEmail)),,,2018-10-03 13:57:56,2018-10-03 13:57:56,0.526s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:56,2018-10-03 13:57:56,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:56,2018-10-03 13:57:56,0.019s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:56,2018-10-03 13:57:56,0.020s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_invalidToEmail,,,2018-10-03 13:57:56,2018-10-03 13:57:57,0.593s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidToEmail)),,,2018-10-03 13:57:56,2018-10-03 13:57:57,0.432s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.004s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.034s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendEmail,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.586s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendEmail)),,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.430s,PASSED
verifyResponseStatusCode,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.035s,PASSED
verifyElementPropertyValue,,,2018-10-03 13:57:57,2018-10-03 13:57:57,0.008s,PASSED
