Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-10 11:15:32,2018-10-10 11:16:01,29.141s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-10 11:15:32,2018-10-10 11:15:34,1.639s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-10 11:15:33,2018-10-10 11:15:34,1.000s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:34,2018-10-10 11:15:34,0.020s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:34,2018-10-10 11:15:34,0.146s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:34,2018-10-10 11:15:34,0.071s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-10 11:15:34,2018-10-10 11:15:55,21.257s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-10 11:15:34,2018-10-10 11:15:55,21.026s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-10 11:15:55,2018-10-10 11:15:56,0.620s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-10 11:15:55,2018-10-10 11:15:56,0.467s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.022s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.015s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.729s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.497s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.003s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.016s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:56,2018-10-10 11:15:56,0.014s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySubject,,,2018-10-10 11:15:56,2018-10-10 11:15:57,0.702s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySubject)),,,2018-10-10 11:15:57,2018-10-10 11:15:57,0.502s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:57,2018-10-10 11:15:57,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:57,2018-10-10 11:15:57,0.027s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:57,2018-10-10 11:15:57,0.038s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyEmailTenantID,,,2018-10-10 11:15:57,2018-10-10 11:15:58,0.661s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyTentant)),,,2018-10-10 11:15:57,2018-10-10 11:15:58,0.496s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.024s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.016s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyToEmail,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.656s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyToEmail)),,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.436s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.020s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.059s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:58,2018-10-10 11:15:58,0.011s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidFromEmail,,,2018-10-10 11:15:58,2018-10-10 11:15:59,0.740s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidFromEmail)),,,2018-10-10 11:15:59,2018-10-10 11:15:59,0.435s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:15:59,2018-10-10 11:15:59,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:59,2018-10-10 11:15:59,0.015s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:15:59,2018-10-10 11:15:59,0.017s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_invalidToEmail,,,2018-10-10 11:15:59,2018-10-10 11:16:00,0.655s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/invalidToEmail)),,,2018-10-10 11:15:59,2018-10-10 11:16:00,0.427s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:16:00,2018-10-10 11:16:00,0.002s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:16:00,2018-10-10 11:16:00,0.020s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:16:00,2018-10-10 11:16:00,0.019s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendEmail,,,2018-10-10 11:16:00,2018-10-10 11:16:01,0.701s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendEmail)),,,2018-10-10 11:16:00,2018-10-10 11:16:01,0.493s,PASSED
verifyResponseStatusCode,,,2018-10-10 11:16:01,2018-10-10 11:16:01,0.001s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:16:01,2018-10-10 11:16:01,0.017s,PASSED
verifyElementPropertyValue,,,2018-10-10 11:16:01,2018-10-10 11:16:01,0.014s,PASSED
