Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Orchestra_Configure,Chrome 68.0.3440.106,,2018-09-17 10:22:32,2018-09-17 10:23:30,57.826s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 10:22:33,2018-09-17 10:22:44,11.022s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:22:33,2018-09-17 10:22:38,4.875s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:22:38,2018-09-17 10:22:42,3.689s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:22:42,2018-09-17 10:22:42,0.351s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:22:42,2018-09-17 10:22:42,0.177s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:22:42,2018-09-17 10:22:44,1.358s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-17 10:22:44,2018-09-17 10:22:44,0.111s,PASSED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 10:22:44,2018-09-17 10:23:29,45.589s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:22:44,2018-09-17 10:22:54,10.142s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:22:54,2018-09-17 10:22:56,2.039s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:22:56,2018-09-17 10:22:56,0.151s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:22:56,2018-09-17 10:22:56,0.143s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:22:56,2018-09-17 10:22:57,0.657s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-17 10:22:57,2018-09-17 10:23:29,32.436s,FAILED
