Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_SMS_Service,,,2018-09-28 11:40:20,2018-09-28 11:40:25,4.064s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromSMS,,,2018-09-28 11:40:21,2018-09-28 11:40:22,1.173s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromSMS)),,,2018-09-28 11:40:21,2018-09-28 11:40:22,0.703s,PASSED
verifyResponseStatusCode,,,2018-09-28 11:40:22,2018-09-28 11:40:22,0.041s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:22,2018-09-28 11:40:22,0.052s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:22,2018-09-28 11:40:22,0.046s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySmsMsg,,,2018-09-28 11:40:22,2018-09-28 11:40:23,0.637s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySmsMsg)),,,2018-09-28 11:40:22,2018-09-28 11:40:23,0.444s,PASSED
verifyResponseStatusCode,,,2018-09-28 11:40:23,2018-09-28 11:40:23,0.002s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:23,2018-09-28 11:40:23,0.016s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:23,2018-09-28 11:40:23,0.015s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptySmsTenantID,,,2018-09-28 11:40:23,2018-09-28 11:40:24,0.746s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptySmsTenant)),,,2018-09-28 11:40:23,2018-09-28 11:40:23,0.543s,PASSED
verifyResponseStatusCode,,,2018-09-28 11:40:23,2018-09-28 11:40:23,0.002s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:23,2018-09-28 11:40:23,0.019s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:23,2018-09-28 11:40:24,0.045s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_sendSMS,,,2018-09-28 11:40:24,2018-09-28 11:40:24,0.674s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/sendSMS)),,,2018-09-28 11:40:24,2018-09-28 11:40:24,0.455s,PASSED
verifyResponseStatusCode,,,2018-09-28 11:40:24,2018-09-28 11:40:24,0.003s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:24,2018-09-28 11:40:24,0.029s,PASSED
verifyElementPropertyValue,,,2018-09-28 11:40:24,2018-09-28 11:40:24,0.036s,PASSED
