Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orchestra_Configure,Chrome 69.0.3497.100,,2018-09-27 12:33:28,2018-09-27 12:34:57,1m - 29.464s,FAILED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-09-27 12:33:28,2018-09-27 12:34:16,48.063s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 12:33:29,2018-09-27 12:33:33,4.017s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 12:33:33,2018-09-27 12:33:36,3.253s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 12:33:36,2018-09-27 12:33:37,0.739s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 12:33:37,2018-09-27 12:33:37,0.276s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 12:33:37,2018-09-27 12:33:44,7.237s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-27 12:33:44,2018-09-27 12:34:16,32.176s,FAILED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-09-27 12:34:16,2018-09-27 12:34:56,40.161s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 12:34:16,2018-09-27 12:34:19,3.170s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-27 12:34:19,2018-09-27 12:34:23,3.155s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 12:34:23,2018-09-27 12:34:23,0.165s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-27 12:34:23,2018-09-27 12:34:23,0.331s,PASSED
click,Chrome 69.0.3497.100,,2018-09-27 12:34:23,2018-09-27 12:34:24,0.856s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-27 12:34:24,2018-09-27 12:34:56,32.465s,FAILED
