Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orchestra_Configure,Chrome 70.0.3538.77,,2018-10-25 11:38:14,2018-10-25 11:39:16,1m - 1.587s,PASSED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 70.0.3538.77,,2018-10-25 11:38:14,2018-10-25 11:39:03,48.298s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-25 11:38:15,2018-10-25 11:38:41,26.044s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-25 11:38:41,2018-10-25 11:38:53,12.061s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-25 11:38:53,2018-10-25 11:38:57,4.279s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-25 11:38:57,2018-10-25 11:38:58,0.289s,PASSED
click,Chrome 70.0.3538.77,,2018-10-25 11:38:58,2018-10-25 11:39:03,5.199s,PASSED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 70.0.3538.77,,2018-10-25 11:39:03,2018-10-25 11:39:14,11.601s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-25 11:39:03,2018-10-25 11:39:09,5.773s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-25 11:39:09,2018-10-25 11:39:12,3.571s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-25 11:39:12,2018-10-25 11:39:12,0.166s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-25 11:39:12,2018-10-25 11:39:13,0.353s,PASSED
click,Chrome 70.0.3538.77,,2018-10-25 11:39:13,2018-10-25 11:39:14,1.726s,PASSED
